0,0,0,0,0,0,0,0,0,0
-5.8232,-11.5516,-8.0176,-7.6484,-3.5672,3.8428,-4.0668,5.44,-1.4528,2.0408
-4.3592,-2.8976,-4.7736,-6.9888,-6.2444,-2.2516,-1.082,-6.986,-9.3248,-6.4952
3.6928,1.7984,-0.2312,0.144,0.6216,7.738,3.876,1.9056,-3.1848,-5.2812
-0.7244,3.8236,-12.3568,-8.8744,-0.6884,-0.3864,2.2528,6.41,0.152,1.598
-6.4888,-3.036,-0.686,2.79,2.3944,9.81,4.8552,1.518,3.7644,4.3992
2.614,3.4156,5.6636,4.8304,-0.1916,-1.3532,3.1516,-1.09,2.634,-1.526
-4.894,7.0812,0.8376,8.2468,4.268,-3.5368,-1.2284,-2.6304,3.6528,3.8388
-2.204,-6.9968,-4.0068,1.0308,2.9324,7.6584,-1.8932,-2.5212,-1.9268,3.666
4.5108,8.9664,1.4096,-8.0604,1.152,-6.1396,7.6268,-2.7808,-3.2308,7.364
6.6528,-1.1764,1.2952,-3.9216,2.1112,1.4852,-2.8612,6.2536,3.4936,-1.3928
